Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Plastics\Day 2.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_OD600.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,30/01/2019,,,,,,,,,,,,,
Time,12:01:46,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.081,0.079,0.081,0.045,0.047,0.043,0.072,0.073,0.065,0.044,0.044,0.043,600
,B,0.043,0.04,0.04,0.046,0.04,0.043,0.07,0.066,0.06,0.041,0.043,0.04,600
,C,0.039,0.038,0.038,0.038,0.039,0.038,0.064,0.062,0.064,0.038,0.038,0.039,600
,D,0.039,0.045,0.041,0.041,0.042,0.045,0.068,0.072,0.07,0.044,0.045,0.04,600
,E,0.039,0.041,0.038,0.038,0.038,0.038,0.073,0.071,0.074,0.039,0.045,0.039,600
,F,0.043,0.044,0.045,0.044,0.045,0.043,0.043,0.043,0.043,0.043,0.043,0.043,600
,G,0.043,0.044,0.043,0.044,0.043,0.046,0.043,0.044,0.043,0.043,0.043,0.044,600
,H,0.043,0.043,0.044,0.043,0.043,0.044,0.044,0.044,0.043,0.046,0.044,0.047,600
