Group,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET
ASV000001,22.78777467,34.60271265,35.09703927,34.6355051,31.41184109,30.73477425,31.00173915,37.2983292,43.6504045,35.23190796,40.69154699,42.62901197,38.52596452,38.94253558,39.56915799,25.95676772,26.36043376,26.20608236,19.71032085,22.54337647,28.85128458,27.19890138,30.63840415,35.10742246,34.81331986,35.66902296,39.40643195,38.59021172,42.17788595,39.02360785,39.97246303,36.66921247,34.966402,34.34506589,35.90386019,29.76539573,41.87770476,44.04251378,36.89988968,38.5139166,34.07188156,36.37264481,37.86014384
ASV000002,5.763699962,2.722584286,5.217979267,2.058187799,1.370426603,1.849874594,1.434091965,0.50823344,0.390012729,0.097908999,0.157600384,0.090085681,0.218780192,0.224607466,0.220918163,19.92026894,16.86139071,23.26627105,18.00031494,16.02041665,4.189382713,1.970864849,24.27939043,25.04715664,23.6002948,10.1915458,2.828614744,1.045232278,0.643112438,13.19728809,10.61846695,4.460859399,3.717753003,3.498382903,3.247279748,2.838160093,13.56332149,9.977445919,6.719662459,3.838671146,3.947180018,2.84381363,1.626601928
ASV000003,0.028768938,17.27764931,13.29598118,13.2575705,12.36594349,11.93258108,13.91807108,8.30826449,0.005328761,0.001822589,0.001958825,0.001759944,0.007015328,0.003598061,0.009655955,2.228438392,4.463514648,3.938164154,2.576220457,5.507526641,10.21996655,8.327321998,11.92081359,4.709174316,5.765990735,9.939950599,13.40459668,16.9661949,11.22442186,7.394779274,4.218785314,4.073584857,7.796222034,8.455988348,6.199380919,7.593062199,3.209419984,1.74174905,1.975734864,2.973521969,4.42236676,3.282451716,2.652055453
ASV000004,5.478658166,4.468276758,4.429328896,4.336969565,3.796822776,3.946958728,4.451291492,4.918649336,5.85776229,10.55484705,8.197339168,7.196572941,7.086155637,7.746494382,7.268835474,5.214960343,3.992149424,4.365487762,2.489697047,2.433226952,3.137756965,2.782928932,4.770387618,4.874855203,4.427892212,4.016441259,4.058966239,4.480371654,4.620432288,6.533576097,6.549974577,5.392684086,4.618478921,4.880222888,5.315737631,4.467843903,7.475550728,7.465478918,6.23608998,5.739016309,5.496064844,5.56328909,6.550096078
ASV000005,0,0.008534608,0.004017115,0,0.009395494,0.014501525,0.001992429,0.004049239,0.006225642,0,0.012125028,0,0.007015328,0.005656437,0.006132148,1.009367791,0.816718072,0.513230413,0.74180492,1.303333066,0.525611575,0.919627355,0.022664813,0.002673225,0.001265935,0.014361626,0.008199286,0.002801591,0,0.00166135,0,0.001729446,0,0.004601883,0,0,0,0.003613845,0.006454539,0.004103911,0.001717151,0,0
ASV000006,0.467838894,3.011177059,3.106223782,2.602898585,4.191987828,4.287202088,5.898933682,5.004790349,0.004956781,0.004311895,0.003011679,0.004550745,0.005218558,0,0.002736278,7.437316747,6.14055621,3.957268354,2.176484138,2.393870506,3.979922767,2.320426041,2.21499117,2.191192634,1.754737723,2.62187588,3.877409096,4.362841332,4.503040272,6.722253317,5.760300511,2.878687856,4.09983672,4.12492265,3.308674986,4.632912552,4.088820951,3.590619148,2.479673258,3.40662972,2.87465768,3.038091202,3.490515229
ASV000007,0,0.008371003,0.004985915,0.548759139,3.151209312,5.407149543,5.438364223,5.522896425,0.001361211,0.001082005,0.442329756,7.539928869,6.572178378,5.442986584,5.455356092,0,0,0.212610913,1.234846243,0.576144398,0.31175275,0.206232169,0.004364075,0,0.043799346,1.07198124,1.371438855,1.257508729,0.977979589,0,0.00435483,8.013382194,9.86467903,8.973075133,7.633728602,8.043967211,0,0.006268604,11.87609574,9.017115067,11.98328181,8.650612309,7.353863951
ASV000008,0.392715425,0.418215562,0.808314016,1.00400472,1.158035779,1.206225033,1.100417332,0.848781887,3.212067077,1.927240222,2.493665061,1.124254052,1.069193657,0.812025255,0.835012097,1.444855194,3.1449116,4.506569491,11.38043307,5.0609899,5.46757086,15.06391803,0.479372583,0.901034714,1.098612746,1.92052075,1.596500985,1.828151829,1.945987905,0.517821222,1.576490854,2.12005017,2.773177023,3.338502953,4.046762338,10.57069711,0.736433987,1.075953664,1.905949085,1.917575524,1.8958253,2.457910273,1.845554102
ASV000009,0.980278669,4.733900275,2.428398285,2.733269252,2.149521225,1.007228988,0.954182542,0.813894296,1.899198343,3.076924034,2.65855196,1.929256594,2.057194825,1.551779924,1.681845769,1.638177891,2.711846112,2.223067372,1.837132121,3.205600533,2.21655181,2.777638474,4.442791869,1.797135813,2.482917079,4.464033154,4.385659397,3.40536279,3.359844697,3.66135252,1.796951317,1.557378965,0.779021129,0.997921632,0.357270396,0.351895912,3.38038164,1.258013096,1.392966983,0.681295967,0.773444822,0.557650946,0.487424971
ASV000010,0.023769033,2.813173094,3.223889014,3.481166705,2.407766951,1.354852993,0.909875701,1.040787228,0.022094983,0.054785707,0.078871233,0.030531514,0.059677245,0.063397874,0.01392714,1.256829732,3.183237948,1.507383852,1.085000502,2.076773805,7.829149406,1.691115188,2.448194721,3.436791633,3.136732317,3.61527341,2.999379733,1.764306158,1.344810852,1.106763924,2.689024029,5.519539678,3.085459396,2.690161533,1.913203581,1.039754457,1.91232474,3.099134549,2.707306295,1.966970407,1.894326633,1.581259474,1.243820004
ASV000011,0.012295586,0.175680195,4.346923697,3.646344726,3.365715127,2.717623418,2.0320352,2.216297748,0.001245128,0,0.001380948,0,0.005218558,0,0,0.317329577,2.597393646,2.079629805,3.296066501,2.290150328,3.856727402,2.515217308,0.183155991,2.765063748,2.207287022,3.104641659,3.699269134,3.091663312,3.193354385,0.193157237,3.586836078,2.20488174,2.054618774,1.514605254,1.495954644,0.964096065,0.194022121,3.417636414,2.327790393,1.90023088,1.913389396,1.839027708,1.266930258
ASV000012,0.803824772,2.577596384,2.047128899,2.006680174,2.655500865,2.766129329,3.086594021,3.053064029,0.005444844,0,0.001052853,0.004492176,0.001818909,0.0035486,0,0.828229323,0.621354837,0.610803983,0.218983028,0.270456014,0.493665871,0.341497597,1.0260663,1.004657188,0.779619046,0.945266994,1.429459868,1.794987281,1.770410447,2.429231459,2.160991909,1.473759043,1.824725298,1.61130855,1.14989,0.781665572,1.434799102,1.684261815,1.100115328,1.470460468,1.27750712,1.15836892,1.471870545
ASV000013,1.44877744,1.290462211,1.311893106,1.272215984,1.179682095,1.297784983,1.273606496,1.305924639,0.584684106,0.53790633,0.45704328,0.423259973,0.466576847,0.542363526,0.546599819,1.198975143,0.928713801,0.84266788,0.655412378,0.768835623,1.227166834,1.104259253,1.173896148,1.144734502,1.169658576,1.128340483,1.360675941,1.566011706,1.348602796,1.47633972,1.442713026,1.267847275,1.256905261,1.214039414,1.374871554,0.902171023,1.321771211,1.436507413,1.265036325,1.17294725,1.066470946,1.022706027,1.304309389
ASV000014,0.237910859,0.128740596,0.124442251,0.092032551,0.07052059,0.034455263,0.028306996,0.011648893,0.483241307,8.676883873,8.618519333,5.952174167,4.818413285,4.263517054,2.989210061,0.103066549,0.20045432,0.117488068,0.103058899,0.197379272,0.248665964,0.060158864,0.133370269,0.148421471,0.127540851,0.072707325,0.074306737,0.055793039,0.010770935,0.326323274,0.309099011,0.339498352,0.103549413,0.132203562,0.109010402,0.014461518,0.300033294,0.230838357,0.240999008,0.108490163,0.078860823,0.038450786,0.057635213
ASV000015,0.369542132,0.350411934,0.529788748,0.788106488,0.617491657,0.676722913,0.58483428,0.70118841,2.262025718,1.958480835,1.788242268,1.276457002,1.130506621,0.772286206,0.868682921,0.253095323,0.496321486,1.094567458,1.374157386,0.589754202,0.680900655,1.471078916,0.404521615,0.615873713,0.735412317,1.346259451,1.053600582,1.264400903,1.451012547,0.386548351,1.347053853,1.573182119,1.727385033,1.851574189,1.565666416,2.352759716,0.772102312,1.065999698,1.279607304,1.389869426,1.218534031,1.364633425,1.395375242
ASV000016,0.023686862,2.06380675,1.94013618,1.989167691,1.41642157,0.741325662,0.505402922,0.670399714,0.03779273,0.074774024,0.088062896,0.039465701,0.075919951,0.047869327,0.03350994,0.225822456,0.595804641,0.442616637,0.188683551,0.237588455,1.157849742,0.346201478,1.371012691,1.889156146,1.830421033,1.93859183,1.71568422,1.220744504,0.901639621,0.613686943,1.999310207,3.247028276,1.902538188,1.416846458,0.859747815,0.382673306,1.288607422,2.447624681,1.488198161,1.306143777,1.068527265,0.909471722,0.894677436
ASV000017,0.604584522,1.118796859,1.088274007,0.841622274,0.556579708,0.717668642,0.598982236,1.120984832,0.059910586,0.078945129,0.079733027,0.087429872,0.126630127,0.135169942,0.169513405,0.799105071,0.975931273,0.674615611,0.477692757,0.736697125,1.119165726,1.36279465,0.91957354,1.164764298,1.128130689,1.068078888,1.311508038,1.113349457,2.000701733,1.323995338,1.355532564,0.997809184,0.951154228,0.894408341,1.017713554,1.091654862,1.66893852,1.701783075,1.302175834,1.063043026,1.070266968,1.0843491,1.574225157
ASV000018,8.728441641,1.777778332,0.639661919,0.59283933,0.462330364,0.684542385,0.583200345,0.12990412,1.077096078,0.122875928,0.269066482,0.130172257,0.259780357,0.415863853,0.221096373,1.952277557,3.177464681,1.749231771,0.706697904,0.339261455,0.07625066,0.080783031,0.823391009,0.360211455,0.366240542,0.269491924,0.079260353,0.002801591,0,1.727442171,0.984036108,0.632243018,0.586171348,0.677356507,0.549961096,0.846561904,1.980346189,0.743394944,0.8005092,0.547158557,0.793847279,0.38929121,0.31349242
ASV000019,0.211000433,0.937601585,0.964477781,1.042038391,1.508420787,1.15359853,1.371871521,1.769139232,0.002722422,0,0.010269104,0.001701375,0,0,0,0.565511971,0.491909328,0.511220713,0.196590497,0.181237957,0.410252873,0.268608205,1.029055823,0.956537471,0.905291913,1.357882759,1.451499439,1.639720704,1.857670371,1.993720957,1.969852019,1.487501753,1.85552315,1.717807031,1.255737319,0.926647922,1.175869708,1.659642151,0.938046636,1.305792812,1.476944001,1.231529727,1.403281318
ASV000020,0.006282788,0,0.009427182,0.002496879,0.009395494,0.020487236,0.008724686,0.011648893,0.020455002,0.004653317,0.007879282,0.003402749,0.012602211,0.01290202,0.009513003,0.018754437,0.036588543,0.042378167,0.048100937,0.014288021,0.010076753,0.001590128,0,0.002766022,0.001968775,0.004422626,0.003171344,0.010645666,0.002072711,0.00166135,0.017960445,1.22455466,1.65448084,2.250113445,6.714298941,7.156088006,0.007114146,0.020284812,1.08870048,4.092315205,3.643845021,6.788936303,7.421870853
ASV000021,0.03868951,3.408153395,2.704819187,2.985613133,5.701008727,6.726344004,5.882877659,4.41367023,0.001361211,0,0.001958825,0,0,0,0,0.002709366,0,0.002314011,0.008486723,0.001245733,0,0.001580628,0.004364075,0.00178215,0.003315073,0,0.001624273,0,0,0.022353513,0.010938354,0.016941974,0,0.013841925,0.009607532,0,0,0,0,0.001562744,0,0.002996389,0
ASV000022,0.125351418,0.1054943,0.088782505,0.149657716,0.052089103,0.028055579,0.011924092,0.018180914,0.486170441,6.072446735,4.687843542,4.107278727,3.320175572,2.690490667,2.451531858,0.023148461,0.05744463,0.038682307,0.021641893,0.029531654,0.054429738,0.011092897,0.107301208,0.133024866,0.14362882,0.087113792,0.063657774,0.029443401,0.015168549,0.237389223,0.288833677,0.358885753,0.137654007,0.092362203,0.045058954,0.008157938,0.27355074,0.354207958,0.15974571,0.133480715,0.087264779,0.03552962,0.041399293
ASV000023,0.018387621,0.967067433,1.256337776,0.966143032,1.305764027,0.922160231,0.511108218,0.405385671,0.058026194,3.85181381,2.017339556,0.680955254,1.576050074,2.354702313,2.1177384,0.801166195,0.447618499,0.427549721,0.641142858,0.935195832,0.722200357,1.050401436,0.025527657,0.049241951,0.075760395,0.094841478,0.056027031,0.079040909,0.09138641,0.001730074,0.015713052,0.001729446,0,0,0.006781653,0.012607161,0.026510235,0.018042041,0.019434844,0.026181657,0.042674237,0.030761836,0.020875861
ASV000024,0,0.008534608,0,0.00593331,0.005657103,0.003416701,0.002973403,0,0.007725808,0,0,0,0.015785827,0,0.002736278,0.750414996,0.371191671,0.217943015,0.227074731,0.408243585,0.209269707,0.288063791,0,0.004151617,0.001265935,0,0.001650247,0,0.001739645,0.001730074,0.00504261,0.001867832,0,0.002375861,0,0,0,0.007227691,0,0,0,0,0
ASV000025,0,0,0.001524158,0,0.003758198,0.001685801,0,0.002024619,0.012380947,0.003246016,0.006679548,0.001701375,0,0.004470672,0.0020917,0.637533235,0.358305079,0.291832119,0.378463166,0.70923165,0.32488379,0.528575738,0.001501231,0.0035643,0,0.002051661,0.001624273,0,0.005218934,0,0.012644623,0.001729446,0,0.004353279,0,0.004078969,0.010278144,0.004188131,0.003825921,0,0,0,0.004295256
ASV000026,0,0,0.007478872,0,0,0,0,0,13.34516196,2.01660352,0.936992521,0.392811459,0.86741496,0.640189638,0.519693678,0,0,0,0.003563919,0,0.002046811,0,0,0,0,0,0,0.001966452,0,0,0,0,0,0,0,0,0.002124902,0,0,0.001562744,0.002145969,0,0.002318034
ASV000027,0,0.007201029,0.003048316,0.003503434,0,0,0.002412662,0,0,0,0.001052853,0,0.001710893,0,0.0020917,0.399286627,0.191365278,0.137608438,0.177426651,0.329241926,0.236082526,0.387776353,0.002267111,0,0,0.004422626,0,0,0,0.003322701,0,0,0,0,0.009607532,0,0.002124902,0,0.004850249,0.007495067,0,0,0
ASV000028,0,0,0.003048316,0.672491655,1.346595503,1.275436066,0.684210582,0.337907091,0,0,0.246329018,0.301024403,0.514737394,0.522111927,0.386371266,0,0.007703244,0.644553956,0.889062514,1.975867268,2.838989117,0.365923083,0,0.006330322,0.673552355,1.360574097,1.489122091,0.35569829,0.105937223,0,0,0.710853316,1.0921941,0.724329504,0.33521026,0.232127884,0,0,0.374326464,0.685156238,0.556059228,0.300029696,0.194906689
ASV000029,0.368206424,0.700897874,0.593702669,0.471302222,0.352555629,0.397632901,0.307415113,0.701479863,0.042958804,0.053872083,0.053602557,0.058213134,0.079017689,0.068585082,0.125121059,0.541657035,0.476158302,0.400613521,0.299978366,0.37537647,0.534291316,0.736299511,0.497461873,0.563626078,0.640664003,0.684671409,0.743906757,0.690776153,0.983377318,0.801988102,0.783902448,0.793234514,0.534196254,0.502926344,0.604448485,0.680799029,0.892488478,0.96805274,0.711756562,0.682917723,0.581804775,0.654989509,0.931632506
ASV000030,0,0,0.002492957,0,0,0,0.007463988,0,0.001245128,0.00645978,0.001052853,0.003402749,0.014160812,0.004215674,0,0.362288658,0.370250133,0.299935651,0.303239543,0.728426778,0.179655124,0.316353581,0.009007386,0.003657097,0.002049138,0,0,0,0.007957777,0,0.004494786,0.003458891,0,0,0.003955774,0.00630358,0.001778537,0,0,0,0,0,0
ASV000031,0.355831601,0.151086214,0.325798785,0.104448088,0.127269009,0.122292019,0.086300247,0.041560021,0.001245128,0.001082005,0,0,0,0,0.005472555,1.573760795,1.199529588,1.540394189,1.17834589,1.072607023,0.623718258,0.228037936,1.57731462,1.832391903,1.523366517,0.718493832,0.263270337,0.105175403,0.037450865,0.719394626,0.530688251,0.197843373,0.28349782,0.170276446,0.200346613,0.119400859,0.790064501,0.456965869,0.310299757,0.236554629,0.237790371,0.121122962,0.048355332
ASV000032,0,0,0,0,0,0,0.003984858,0,0.007841891,0,0,0.003402749,0.003637819,0,0.002736278,0.346506784,0.326113769,0.22387785,0.238082974,0.2524407,0.16160315,0.226362302,0,0.000891075,0,0.002211313,0,0,0,0,0,0,0,0,0,0.012236907,0,0.00151978,0.004850249,0,0,0,0
ASV000033,0,0,0.001524158,0,0.005657103,0,0,0,0.007563121,0,0.004142845,0.003402749,0.012472057,0,0.0020917,0.534409193,0.251311621,0.149000525,0.189248694,0.346143878,0.206853575,0.29273917,0,0,0.001265935,0,0,0.003932905,0,0,0,0,0,0.001977418,0,0,0.003557073,0,0.002014707,0.001562744,0.002145969,0.002016902,0
ASV000034,0,0,0.001524158,0,0,0,0.002412662,0.002024619,0,0.068311821,2.65614611,2.683540351,4.539103517,4.539992878,4.70141075,0.00940738,0.008898974,0.020851025,0.055092923,0.017624892,0.008857638,0.022176293,0.001501231,0.015612261,0.006147415,0,0.001624273,0,0.003731483,0,0.005469177,0.012382892,0.004939003,0.007376188,0.003955774,0,0.004249803,0.004160945,0.012603837,0,0.008132065,0.005334021,0
ASV000035,0,0,0,0,0.001879099,0,0,0.001878675,0,0,0,0,0,0.002980448,0,0.281197954,0.197845421,0.135392866,0.149664679,0.277876751,0.114211285,0.204081502,0,0.000891075,0,0,0,0.002801591,0,0,0,0,0,0,0,0,0.012118274,0.00151978,0,0,0,0,0
ASV000036,0,0,0,0.009987516,0.105229532,0.481754818,0.366724571,1.200473426,0,0,0,0,0,0,0,0,0,0.396852945,0.796182686,2.230176863,1.797099669,3.507823432,0,0,0.048105528,0.324162409,0.605396854,0.64302991,1.029889175,0,0,0,0,0,0,0.00630358,0,0,0,0,0,0,0
ASV000037,0,0,0.002785903,0,0,0,0.002973403,0,0.002722422,0.001407301,0,0.003402749,0,0,0.004040448,0.291788405,0.15736458,0.136904225,0.160216143,0.216591383,0.174502476,0.216745526,0,0.00178215,0,0,0,0,0,0.004984051,0,0,0,0,0,0,0,0,0,0,0.005783183,0,0.004639941
ASV000038,0,0,0,0,0,0.013576604,0.007969715,0.005887254,0.004980514,0.004653317,0,0,0.001710893,0,0.008366801,0.458568473,0.276915026,0.256102118,0.292863853,0.40349989,0.213479432,0.294272295,0.004193927,0.00534645,0.005986689,0.002211313,0,0.003932905,0,0.001766192,0,0.005603497,0.002469502,0,0,0,0.005681975,0,0,0,0,0,0
ASV000039,0.005082076,0.643200332,0.73423818,0.716589149,0.747331994,0.516976571,0.423852822,0.289805538,0.050406702,2.380994913,1.614038794,0.72426835,1.079251012,1.490018963,1.105426424,0.068860872,0.041130673,0.071732631,0.066822638,0.106368203,0.052679716,0.068081004,0.027709478,0.057637983,0.079117982,0.089895055,0.091013556,0.075974792,0.119010372,0.010141667,0.00435483,0,0,0.011181184,0.008042904,0.018910741,0.014574658,0.018616327,0.02954233,0.022505017,0.03065606,0.025625791,0.02782222
ASV000040,0,0,0,0,0,0,0,0,6.708971777,1.632156355,0.718793168,0.423157815,0.560968339,0.495796272,0.363816558,0,0,0,0,0,0,0,0,0,0.001265935,0,0,0,0,0.00166135,0,0,0,0,0,0,0.001778537,0,0,0,0,0,0
ASV000041,0,0,0,0,0.001879099,0,0.001486701,0,0.001361211,0,0,0,0.001710893,0,0,0.135923999,0.086645563,0.060716914,0.085296991,0.14503777,0.059415013,0.106073076,0,0,0,0.006633939,0,0,0,0.001766192,0.002247393,0.001729446,0,0,0,0.004078969,0,0,0,0,0,0,0
ASV000042,0.028851108,0.014402058,0.118246547,0.317302378,0.624136811,0.648369706,0.517385905,0.539738449,0.007516516,0.006385914,0.011943814,0.013786705,0.003637819,0.00987211,0.002736278,0.002480296,0.155841158,0.159838205,0.095172379,0.238816775,0.479622296,0.512860948,0.004503693,0.110284006,0.32407331,0.813133614,0.907079623,1.172769612,1.589190438,0.003322701,0.167694505,0.279121186,0.546306493,0.573159984,0.377849519,1.138396389,0.011153571,0.204421164,0.535489972,0.566466331,0.579293328,0.562499988,0.508339696
ASV000043,0.015246227,0.005689739,0.006096632,0.009208852,0.009395494,0.00170835,0.004825323,0.007514701,0.033091847,0.018567313,0.007076211,0.008372405,0.005240696,0.010744722,0.010458501,0.007838706,0.003643465,0.012222703,0.00167009,0.001738375,0,0.009502768,0,0,0,0,0,0,0.005218934,0,0.013873527,0.880444571,0.944554133,1.04882182,1.956637668,1.873653663,0,0.005694318,0.559073911,1.728453957,1.746591504,2.576449921,3.564876229
ASV000044,0,0,0,0,0.001879099,0,0.001486701,0,0.003642175,0,0,0.003402749,0.005456728,0.002980448,0,0.371480946,0.14514964,0.136749725,0.119483238,0.260609349,0.181698483,0.247014971,0.008558002,0.000891075,0.004017914,0.002211313,0.006419891,0,0,0.001730074,0,0,0,0,0,0,0.002124902,0,0,0.002184789,0,0,0
ASV000045,0.006282788,0.072675341,0.172133521,0.121439514,0.088632189,0.101259822,0.087755176,0.068574497,0.002443652,0.090701875,0.069704059,0.12288928,0.0931785,0.136956935,0.154602981,0.287497012,0.322844505,0.625854709,1.933015013,1.297781471,1.41865388,1.62977578,0.074121481,0.135569593,0.118153507,0.063772391,0.064562536,0.07260068,0.058103657,0.032856357,0.143742458,0.148858448,0.090954762,0.191800916,0.189176733,0.251779134,0.070038714,0.110752466,0.193626223,0.117581145,0.176610307,0.133078285,0.089063319
ASV000046,0.002049264,0,0.080617068,0.319683304,0.266075441,0.359614175,0.539471026,0.555827954,0.001245128,0.004727184,0.110280364,0.122444635,0.195790285,0.205995863,0.230795066,0.001140693,0.166395435,0.332038076,1.350917673,1.38197094,0.533265746,1.309890418,0.011730611,0.046383132,0.17676735,0.16925603,0.260595209,0.45025758,0.47177065,0.00688769,0.042657769,0.165579424,0.157772722,0.294474865,0.211411172,0.14869415,0.011017585,0.06769814,0.228096787,0.186898639,0.282698788,0.228757001,0.324606469
ASV000047,0,0,0,0.00450999,0,0,0.001486701,0,0,0,0.002433802,0,0,0,0,0.170738623,0.152355606,0.093034996,0.121487579,0.179221719,0.125724958,0.136019499,0,0,0,0,0.001650247,0,0,0,0,0,0,0.002375861,0,0.004078969,0.002124902,0.00151978,0.002425124,0,0,0,0
ASV000048,0.065952098,0.067977865,0.038012386,0.065615416,0.03565941,0.012725525,0.003984858,0.001878675,0.173256998,2.096978949,1.882031248,1.982461186,1.311439735,1.179312414,1.037734246,0.003422079,0.025618718,0.022460824,0.009280046,0.012335351,0.02059407,0.003161256,0.046435802,0.045883444,0.062885602,0.104427586,0.030527127,0.020175842,0.015168549,0.117576751,0.166465601,0.127551555,0.092527321,0.053544859,0.068795881,0.020765099,0.118645712,0.185493019,0.117114471,0.094208229,0.056386572,0.021732038,0.020186491
ASV000049,2.549282216,0.741973497,0.328107019,0.336074656,0.220577955,0.274966772,0.24525929,0.084023303,0.60634664,0.170519197,0.200331769,0.071715921,0.183802019,0.2505442,0.172683765,0.193249739,0.279212312,0.220155279,0.061470962,0.019671283,0.003070216,0,0.319861854,0.18007261,0.197072914,0.119416567,0.030708223,0,0,0.734498274,0.533106161,0.28780014,0.247782594,0.321111283,0.201650811,0.113467533,0.958372918,0.427227578,0.331396404,0.27546163,0.270665136,0.184192359,0.165238934
ASV000050,0,0,0,0,0.001879099,0,0,0,0.003804863,0,0,0,0,0.010645799,0,0.195266166,0.12872792,0.115801846,0.146995713,0.162538773,0.123412694,0.164575307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000051,0,0.008371003,0.002785903,0,0,0,0,0,0,0.003645178,0,0,0,0,0,0.28898276,0.135700175,0.099597621,0.117550327,0.195141208,0.09214122,0.121793848,0.004534222,0.002673225,0,0,0,0,0,0.003460148,0,0,0,0.00672914,0,0,0,0,0,0,0,0.002996389,0
ASV000052,0,0,0,0,0,0,0,0,0,0,0,0,0.003507664,0,0,0.070022407,0.042666154,0.054906963,0.062633177,0.090114812,0.066387428,0.068119007,0,0,0,0,0,0,0,0.003322701,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000053,0,0.383342046,0.415821984,0.401849504,0.486024639,0.312145921,0.268173246,0.192465406,0.034081078,2.139178027,1.007183728,0.45328775,1.007742358,0.976467302,1.019270534,0.10034566,0.052282529,0.105738589,0.064592266,0.109248224,0.083037438,0.083982289,0.031083197,0.041438405,0.03560224,0.027789156,0.042592733,0.02580076,0.066032186,0.004984051,0,0,0,0,0.012715315,0,0.011710315,0.015197799,0.005738881,0.009803737,0.017575455,0.01573926,0.017866521
ASV000054,0,0.005689739,0.001524158,0.019048368,0.002078656,0.001685801,0.002412662,0,0,0.136510766,1.258924241,2.022298765,2.502801439,2.747358479,2.264075225,0,0,0.005710058,0,0,0,0.006341513,0,0.008303234,0,0,0.003042195,0,0.00347929,0.003322701,0.012924535,0.003458891,0,0,0,0,0,0.007200505,0.003927668,0,0.006009088,0,0
ASV000055,0,0,0.01289965,0,0.001879099,0.009774673,0.004825323,0.011523279,0.018861626,0.009454367,0.002761897,0.001701375,0.005218558,0.008233502,0.014857622,0.002709366,0.002186079,0.002314011,0.00167009,0.001738375,0,0,0,0,0,0,0.004563293,0,0,0,0.00168087,0.657431955,0.804867088,0.836773789,1.942799298,1.616317628,0,0.004188131,0.513780006,1.32774757,1.165264588,2.260150045,2.341944056
ASV000056,0,0,0,0,0,0,0,0,0.001361211,0,0,0,0,0,0,3.085417018,2.075545325,0.605843552,0.508145381,0.372973531,0.161272903,0.124974105,0.203328352,0.187547504,0.104575874,0.080045737,0.018743794,0.010371226,0.002072711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000057,0,0,0,0,0,0,0.004825323,0,0.001245128,0.001407301,0,0,0,0,0.005472555,0.138021522,0.089518608,0.069446716,0.044335906,0.118780346,0.075109864,0.080754529,0.002096964,0.008298067,0,0.004205568,0,0,0.002072711,0.001730074,0,0,0,0,0.001977887,0,0,0,0,0,0,0,0
ASV000058,0,0,0,0,0.003778004,0.005079951,0,0,0.006341725,0,0,0,0.003421787,0,0,0.202656051,0.132645865,0.131693966,0.102480012,0.218692389,0.102462828,0.145541268,0,0,0,0,0,0.001966452,0,0.001730074,0,0,0,0,0,0.004078969,0,0,0.003825921,0.001562744,0,0,0
ASV000059,0,0,0,0,0,0,0,0.009393376,0.002443652,0,0,0,0.00874836,0.001490224,0,0.214207365,0.095859213,0.119344727,0.128101371,0.11814592,0.076042926,0.120260724,0.003768342,0.009096344,0,0,0,0.003932905,0,0,0,0,0,0,0,0,0.008499607,0,0,0,0,0,0
ASV000060,0,0,0.005278861,0,0,0.003416701,0,0.004049239,0.003920945,0,0.004970504,0.007282978,0.003421787,0.009155575,0,0.230267483,0.126267361,0.125709018,0.129430057,0.193984485,0.097520913,0.126602237,0,0.005532044,0,0,0,0,0,0.004984051,0,0.003735664,0.004618099,0,0,0,0,0,0,0,0.003434302,0,0
ASV000061,0,0,0.002492957,0,0,0.002556041,0,0,0,0,0.002105706,0,0.003421787,0,0,0.110245307,0.071392201,0.033980967,0.071299695,0.134093669,0.056933424,0.087115043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000062,0,0.008371003,0,0,0,0.002556041,0.004825323,0,0.004083633,0,0.189730564,0.262009658,0.539106907,0.75828688,0.990104435,0.080305452,0.613810651,0.047234206,0.014557998,0.15490895,0.094699839,0.011073895,0.010825113,0,0.002049138,0.004205568,0.003300493,0.005042483,0.002072711,0.005190222,0,0,0,0,0,0.020394844,0.006164327,0,0,0,0,0,0
ASV000063,0.006147793,0.256330784,0.312218891,0.370704418,0.306409579,0.235597314,0.164489757,0.192315829,0.011298506,1.559737283,0.865092771,0.415850407,0.777645655,0.906979922,0.799114432,0.030196189,0.025112251,0.030686333,0.045418227,0.091547506,0.027548673,0.038049076,0.01340199,0.02787635,0.038333238,0.056532119,0.030216882,0.049096103,0.074086968,0,0,0,0,0.007624792,0.003955774,0,0.012403045,0.00455934,0.008469246,0.013783768,0.022319203,0.01150748,0.013912078
